iter	RMSEWithUncertainty
0	-0.9826190968
1	-0.991122968
2	-0.9994484287
3	-1.008401696
4	-1.017598164
5	-1.023210176
6	-1.027724974
7	-1.032353743
8	-1.039333918
9	-1.046018704
10	-1.051607559
11	-1.058436956
12	-1.065003608
13	-1.070262351
14	-1.075688662
15	-1.081772227
16	-1.087928546
17	-1.096027163
18	-1.100505458
19	-1.104967889
20	-1.110153834
21	-1.113644702
22	-1.118036417
23	-1.12163468
24	-1.126733112
25	-1.131997798
26	-1.13614617
27	-1.141376965
28	-1.144601062
29	-1.148740801
30	-1.152438255
31	-1.155709611
32	-1.159226811
33	-1.163937266
34	-1.166838526
35	-1.169974326
36	-1.173877845
37	-1.17740558
38	-1.179796482
39	-1.182056008
40	-1.18477947
41	-1.187582976
42	-1.190923443
43	-1.194447437
44	-1.195560175
45	-1.196760696
46	-1.199163182
47	-1.204627364
48	-1.206818258
49	-1.210964893
50	-1.214972194
51	-1.217981697
52	-1.220929071
53	-1.223251899
54	-1.227383722
55	-1.231004546
56	-1.233661432
57	-1.237327397
58	-1.240196401
59	-1.24394237
60	-1.245882326
61	-1.249385171
62	-1.250551996
63	-1.253246279
64	-1.255777763
65	-1.259286543
66	-1.263780121
67	-1.268178873
68	-1.271131984
69	-1.273706439
70	-1.275318434
71	-1.277045316
72	-1.279662054
73	-1.282123318
74	-1.284566782
75	-1.286438579
76	-1.288464909
77	-1.290138073
78	-1.292185058
79	-1.293863324
80	-1.295601125
81	-1.298175756
82	-1.301316441
83	-1.303086628
84	-1.305948685
85	-1.308494364
86	-1.311674078
87	-1.314185821
88	-1.316825983
89	-1.320171492
90	-1.321890701
91	-1.324023391
92	-1.326514834
93	-1.328826551
94	-1.330935241
95	-1.331831904
96	-1.334122066
97	-1.335978783
98	-1.338071071
99	-1.34060542
100	-1.3431241
101	-1.347826878
102	-1.350339212
103	-1.351980397
104	-1.354454632
105	-1.357671777
106	-1.359793382
107	-1.361462076
108	-1.363237185
109	-1.365812928
110	-1.368242125
111	-1.369636074
112	-1.371840476
113	-1.373414249
114	-1.374952969
115	-1.376815656
116	-1.380266136
117	-1.382587543
118	-1.384982618
119	-1.38856792
120	-1.390657855
121	-1.392872424
122	-1.395385824
123	-1.397676566
124	-1.400599029
125	-1.403299661
126	-1.405300569
127	-1.408179123
128	-1.40976169
129	-1.411613809
130	-1.413605073
131	-1.4171306
132	-1.419746419
133	-1.420750374
134	-1.422406944
135	-1.425176943
136	-1.427751481
137	-1.430072048
138	-1.432047712
139	-1.434142948
140	-1.435926697
141	-1.43763897
142	-1.439715279
143	-1.441886953
144	-1.444634382
145	-1.447859863
146	-1.450504592
147	-1.452174352
148	-1.455346487
149	-1.457443994
150	-1.458996082
151	-1.46083808
152	-1.462844382
153	-1.465513705
154	-1.468206355
155	-1.470759934
156	-1.474169165
157	-1.477361771
158	-1.479145533
159	-1.480433848
160	-1.481919904
161	-1.483802417
162	-1.48573672
163	-1.488108646
164	-1.4901916
165	-1.491997419
166	-1.494288643
167	-1.497355939
168	-1.499163853
169	-1.501460644
170	-1.502371137
171	-1.504565762
172	-1.506523812
173	-1.509127727
174	-1.510800704
175	-1.512145952
176	-1.515220014
177	-1.517827471
178	-1.519723504
179	-1.521211773
180	-1.522695504
181	-1.523709599
182	-1.525758625
183	-1.528193928
184	-1.530520354
185	-1.533361887
186	-1.535728918
187	-1.537561309
188	-1.540040046
189	-1.54252585
190	-1.544902285
191	-1.547059328
192	-1.549199094
193	-1.55241164
194	-1.554277177
195	-1.555883123
196	-1.558773273
197	-1.560758743
198	-1.562903408
199	-1.564857629
200	-1.568061928
201	-1.57078199
202	-1.572684977
203	-1.574839485
204	-1.577135382
205	-1.579490233
206	-1.581599446
207	-1.583760444
208	-1.585281145
209	-1.588211785
210	-1.590080006
211	-1.592202557
212	-1.594207637
213	-1.595637796
214	-1.59824823
215	-1.599732878
216	-1.601437291
217	-1.604271518
218	-1.607537927
219	-1.608996189
220	-1.611716058
221	-1.61379937
222	-1.615397137
223	-1.617269458
224	-1.619620942
225	-1.621751614
226	-1.623099513
227	-1.624471594
228	-1.625486663
229	-1.627284444
230	-1.629610185
231	-1.63120448
232	-1.632219314
233	-1.633548254
234	-1.635261956
235	-1.638280355
236	-1.640045162
237	-1.641876584
238	-1.642991269
239	-1.644705533
240	-1.647288028
241	-1.649613963
242	-1.651205931
243	-1.653396962
244	-1.654744028
245	-1.656286417
246	-1.657886956
247	-1.659245451
248	-1.660824245
249	-1.662300833
250	-1.6632898
251	-1.665827851
252	-1.667885517
253	-1.669354491
254	-1.670882737
255	-1.672238587
256	-1.673342307
257	-1.674665786
258	-1.676085186
259	-1.67792873
260	-1.679261075
261	-1.6800993
262	-1.681543808
263	-1.682421239
264	-1.684930268
265	-1.686476828
266	-1.687712871
267	-1.689296747
268	-1.690936166
269	-1.692191455
270	-1.693125519
271	-1.694300756
272	-1.695557276
273	-1.696484736
274	-1.697280579
275	-1.69857578
276	-1.699834103
277	-1.700615538
278	-1.70150756
279	-1.702711789
280	-1.703921065
281	-1.704847898
282	-1.706042002
283	-1.706920449
284	-1.708584269
285	-1.709440918
286	-1.710267462
287	-1.711376755
288	-1.71302636
289	-1.714487863
290	-1.71608915
291	-1.716836568
292	-1.717577789
293	-1.718880496
294	-1.71967322
295	-1.721257708
296	-1.72266896
297	-1.723472324
298	-1.724207193
299	-1.725381621
300	-1.726512605
301	-1.727957873
302	-1.728717635
303	-1.730325122
304	-1.731873048
305	-1.732607386
306	-1.733336035
307	-1.734318012
308	-1.735888472
309	-1.736612027
310	-1.737330033
311	-1.738388148
312	-1.739407652
313	-1.740394429
314	-1.741479149
315	-1.743480703
316	-1.744880451
317	-1.74646527
318	-1.747757765
319	-1.74930783
320	-1.751181239
321	-1.752814962
322	-1.755081189
323	-1.75591439
324	-1.757407328
325	-1.75819935
326	-1.759804281
327	-1.760586373
328	-1.761345958
329	-1.76312503
330	-1.764947424
331	-1.766722338
332	-1.767467743
333	-1.769194926
334	-1.770716419
335	-1.771669003
336	-1.772601134
337	-1.773512888
338	-1.77530054
339	-1.776745068
340	-1.777647517
341	-1.778872583
342	-1.780547259
343	-1.781858905
344	-1.783235644
345	-1.784161139
346	-1.785169422
347	-1.786880139
348	-1.788060714
349	-1.789308602
350	-1.790304144
351	-1.791925448
352	-1.793442529
353	-1.794594307
354	-1.79615924
355	-1.797125739
356	-1.798603461
357	-1.799982041
358	-1.801427888
359	-1.802516306
360	-1.803879061
361	-1.804530379
362	-1.806088766
363	-1.80756339
364	-1.808246029
365	-1.808660043
366	-1.809536453
367	-1.810560603
368	-1.811691059
369	-1.812376641
370	-1.812760585
371	-1.813297109
372	-1.813954754
373	-1.81452251
374	-1.815031314
375	-1.816161626
376	-1.816631406
377	-1.81704605
378	-1.8180736
379	-1.818896424
380	-1.820182209
381	-1.821415985
382	-1.82262491
383	-1.82380932
384	-1.824969537
385	-1.826105879
386	-1.826543876
387	-1.826955793
388	-1.827341974
389	-1.827702776
390	-1.828038571
391	-1.828490204
392	-1.828918388
393	-1.830052162
394	-1.830467492
395	-1.831097111
396	-1.831490566
397	-1.832189686
398	-1.832869685
399	-1.833476421
400	-1.83387393
401	-1.834468907
402	-1.835051619
403	-1.835658862
404	-1.836460399
405	-1.836859397
406	-1.837644726
407	-1.838217776
408	-1.838723367
409	-1.839498292
410	-1.840984606
411	-1.843528481
412	-1.845857
413	-1.848291376
414	-1.850889382
415	-1.85282236
416	-1.854661215
417	-1.856409611
418	-1.858070928
419	-1.860508751
420	-1.862589043
421	-1.865670457
422	-1.867109157
423	-1.869043167
424	-1.870373193
425	-1.871635989
426	-1.873453112
427	-1.875211241
428	-1.876451539
429	-1.878190532
430	-1.879778742
431	-1.881685803
432	-1.883216525
433	-1.885036485
434	-1.886699256
435	-1.888456599
436	-1.891107597
437	-1.893665642
438	-1.894960222
439	-1.89744446
440	-1.898160038
441	-1.89928303
