iter	Passed	Remaining
0	0	345
1	0	346
2	0	330
3	1	321
4	1	374
5	2	384
6	2	374
7	3	374
8	3	394
9	4	409
10	4	419
11	5	428
12	5	431
13	6	437
14	6	433
15	7	439
16	7	440
17	8	439
18	8	442
19	9	445
20	9	440
21	9	434
22	10	430
23	10	427
24	10	422
25	11	423
26	11	428
27	12	432
28	12	434
29	13	431
30	13	430
31	14	434
32	14	435
33	15	436
34	15	438
35	16	441
36	17	445
37	17	446
38	18	445
39	18	444
40	19	444
41	19	444
42	20	448
43	20	449
44	21	449
45	21	450
46	22	449
47	22	448
48	23	448
49	23	448
50	24	449
51	24	450
52	25	452
53	25	451
54	26	450
55	26	448
56	27	450
57	27	449
58	28	450
59	28	448
60	29	449
61	29	449
62	30	448
63	30	449
64	31	449
65	31	449
66	32	451
67	32	450
68	33	451
69	34	452
70	34	453
71	35	453
72	35	452
73	36	452
74	36	451
75	37	450
76	37	449
77	37	449
78	38	449
79	38	447
80	39	446
81	39	446
82	40	446
83	40	446
84	41	447
85	42	446
86	42	446
87	43	446
88	43	446
89	44	445
90	44	446
91	45	446
92	45	446
93	46	445
94	46	445
95	47	444
96	47	444
97	48	444
98	48	442
99	49	442
100	49	442
101	50	441
102	50	441
103	51	441
104	51	442
105	52	442
106	52	442
107	53	442
108	54	442
109	54	442
110	55	442
111	55	442
112	56	442
113	56	442
114	57	441
115	57	440
116	58	439
117	58	439
118	59	438
119	59	437
120	60	437
121	60	436
122	61	436
123	61	436
124	62	435
125	62	434
126	63	433
127	63	433
128	63	431
129	64	431
130	65	431
131	65	430
132	66	430
133	66	430
134	67	429
135	67	429
136	68	428
137	68	427
138	69	427
139	69	427
140	70	427
141	70	427
142	71	426
143	71	425
144	72	424
145	72	425
146	73	425
147	73	424
148	74	424
149	74	423
150	75	423
151	75	423
152	76	423
153	77	423
154	77	422
155	78	422
156	78	420
157	78	420
158	79	418
159	79	418
160	80	416
161	80	416
162	81	417
163	81	416
164	82	415
165	82	414
166	82	413
167	83	413
168	84	413
169	84	413
170	85	412
171	85	412
172	86	411
173	86	411
174	87	411
175	87	411
176	88	411
177	88	410
178	89	409
179	89	408
180	90	407
181	90	407
182	91	407
183	91	406
184	92	405
185	92	405
186	93	405
187	93	405
188	94	404
189	94	404
190	95	403
191	95	403
192	96	402
193	96	401
194	97	401
195	97	400
196	98	400
197	98	400
198	99	399
