,GasRate(ft3/min),CO2%
0,-0.109,53.8
1,0.0,53.6
2,0.178,53.5
3,0.339,53.5
4,0.373,53.4
5,0.441,53.1
6,0.461,52.7
7,0.348,52.4
8,0.127,52.2
9,-0.18,52.0
10,-0.588,52.0
11,-1.055,52.4
12,-1.421,53.0
13,-1.52,54.0
14,-1.302,54.9
15,-0.814,56.0
16,-0.475,56.8
17,-0.193,56.8
18,0.088,56.4
19,0.435,55.7
20,0.771,55.0
21,0.866,54.3
22,0.875,53.2
23,0.891,52.3
24,0.987,51.6
25,1.263,51.2
26,1.775,50.8
27,1.976,50.5
28,1.934,50.0
29,1.866,49.2
30,1.832,48.4
31,1.767,47.9
32,1.608,47.6
33,1.265,47.5
34,0.79,47.5
35,0.36,47.6
36,0.115,48.1
37,0.088,49.0
38,0.331,50.0
39,0.645,51.1
40,0.96,51.8
41,1.409,51.9
42,2.67,51.7
43,2.834,51.2
44,2.812,50.0
45,2.483,48.3
46,1.929,47.0
47,1.485,45.8
48,1.214,45.6
49,1.239,46.0
50,1.608,46.9
51,1.905,47.8
52,2.023,48.2
53,1.815,48.3
54,0.535,47.9
55,0.122,47.2
56,0.009,47.2
57,0.164,48.1
58,0.671,49.4
59,1.019,50.6
60,1.146,51.5
61,1.155,51.6
62,1.112,51.2
63,1.121,50.5
64,1.223,50.1
65,1.257,49.8
66,1.157,49.6
67,0.913,49.4
68,0.62,49.3
69,0.255,49.2
70,-0.28,49.3
71,-1.08,49.7
72,-1.551,50.3
73,-1.799,51.3
74,-1.825,52.8
75,-1.456,54.4
76,-0.944,56.0
77,-0.57,56.9
78,-0.431,57.5
79,-0.577,57.3
80,-0.96,56.6
81,-1.616,56.0
82,-1.875,55.4
83,-1.891,55.4
84,-1.746,56.4
85,-1.474,57.2
86,-1.201,58.0
87,-0.927,58.4
88,-0.524,58.4
89,0.04,58.1
90,0.788,57.7
91,0.943,57.0
92,0.93,56.0
93,1.006,54.7
94,1.137,53.2
95,1.198,52.1
96,1.054,51.6
97,0.595,51.0
98,-0.08,50.5
99,-0.314,50.4
100,-0.288,51.0
101,-0.153,51.8
102,-0.109,52.4
103,-0.187,53.0
104,-0.255,53.4
105,-0.229,53.6
106,-0.007,53.7
107,0.254,53.8
108,0.33,53.8
109,0.102,53.8
110,-0.423,53.3
111,-1.139,53.0
112,-2.275,52.9
113,-2.594,53.4
114,-2.716,54.6
115,-2.51,56.4
116,-1.79,58.0
117,-1.346,59.4
118,-1.081,60.2
119,-0.91,60.0
120,-0.876,59.4
121,-0.885,58.4
122,-0.8,57.6
123,-0.544,56.9
124,-0.416,56.4
125,-0.271,56.0
126,0.0,55.7
127,0.403,55.3
128,0.841,55.0
129,1.285,54.4
130,1.607,53.7
131,1.746,52.8
132,1.683,51.6
133,1.485,50.6
134,0.993,49.4
135,0.648,48.8
136,0.577,48.5
137,0.577,48.7
138,0.632,49.2
139,0.747,49.8
140,0.9,50.4
141,0.993,50.7
142,0.968,50.9
143,0.79,50.7
144,0.399,50.5
145,-0.161,50.4
146,-0.553,50.2
147,-0.603,50.4
148,-0.424,51.2
149,-0.194,52.3
150,-0.049,53.2
151,0.06,53.9
152,0.161,54.1
153,0.301,54.0
154,0.517,53.6
155,0.566,53.2
156,0.56,53.0
157,0.573,52.8
158,0.592,52.3
159,0.671,51.9
160,0.933,51.6
161,1.337,51.6
162,1.46,51.4
163,1.353,51.2
164,0.772,50.7
165,0.218,50.0
166,-0.237,49.4
167,-0.714,49.3
168,-1.099,49.7
169,-1.269,50.6
170,-1.175,51.8
171,-0.676,53.0
172,0.033,54.0
173,0.556,55.3
174,0.643,55.9
175,0.484,55.9
176,0.109,54.6
177,-0.31,53.5
178,-0.697,52.4
179,-1.047,52.1
180,-1.218,52.3
181,-1.183,53.0
182,-0.873,53.8
183,-0.336,54.6
184,0.063,55.4
185,0.084,55.9
186,0.0,55.9
187,0.001,55.2
188,0.209,54.4
189,0.556,53.7
190,0.782,53.6
191,0.858,53.6
192,0.918,53.2
193,0.862,52.5
194,0.416,52.0
195,-0.336,51.4
196,-0.959,51.0
197,-1.813,50.9
198,-2.378,52.4
199,-2.499,53.5
200,-2.473,55.6
201,-2.33,58.0
202,-2.053,59.5
203,-1.739,60.0
204,-1.261,60.4
205,-0.569,60.5
206,-0.137,60.2
207,-0.024,59.7
208,-0.05,59.0
209,-0.135,57.6
210,-0.276,56.4
211,-0.534,55.2
212,-0.871,54.5
213,-1.243,54.1
214,-1.439,54.1
215,-1.422,54.4
216,-1.175,55.5
217,-0.813,56.2
218,-0.634,57.0
219,-0.582,57.3
220,-0.625,57.4
221,-0.713,57.0
222,-0.848,56.4
223,-1.039,55.9
224,-1.346,55.5
225,-1.628,55.3
226,-1.619,55.2
227,-1.149,55.4
228,-0.488,56.0
229,-0.16,56.5
230,-0.007,57.1
231,-0.092,57.3
232,-0.62,56.8
233,-1.086,55.6
234,-1.525,55.0
235,-1.858,54.1
236,-2.029,54.3
237,-2.024,55.3
238,-1.961,56.4
239,-1.952,57.2
240,-1.794,57.8
241,-1.302,58.3
242,-1.03,58.6
243,-0.918,58.8
244,-0.798,58.8
245,-0.867,58.6
246,-1.047,58.0
247,-1.123,57.4
248,-0.876,57.0
249,-0.395,56.4
250,0.185,56.3
251,0.662,56.4
252,0.709,56.4
253,0.605,56.0
254,0.501,55.2
255,0.603,54.0
256,0.943,53.0
257,1.223,52.0
258,1.249,51.6
259,0.824,51.6
260,0.102,51.1
261,0.025,50.4
262,0.382,50.0
263,0.922,50.0
264,1.032,52.0
265,0.866,54.0
266,0.527,55.1
267,0.093,54.5
268,-0.458,52.8
269,-0.748,51.4
270,-0.947,50.8
271,-1.029,51.2
272,-0.928,52.0
273,-0.645,52.8
274,-0.424,53.8
275,-0.276,54.5
276,-0.158,54.9
277,-0.033,54.9
278,0.102,54.8
279,0.251,54.4
280,0.28,53.7
281,0.0,53.3
282,-0.493,52.8
283,-0.759,52.6
284,-0.824,52.6
285,-0.74,53.0
286,-0.528,54.3
287,-0.204,56.0
288,0.034,57.0
289,0.204,58.0
290,0.253,58.6
291,0.195,58.5
292,0.131,58.3
293,0.017,57.8
294,-0.182,57.3
295,-0.262,57.0
