iter	RMSEWithUncertainty
0	-0.435407008
1	-0.4560561856
2	-0.4675820434
3	-0.4798755368
4	-0.4900091289
5	-0.5031220994
6	-0.5126932946
7	-0.5260529142
8	-0.5354346659
9	-0.5450505112
10	-0.5544989876
11	-0.5644319121
12	-0.5745425414
13	-0.5850804376
14	-0.5894234639
15	-0.5962705282
16	-0.6074120891
17	-0.6158111897
18	-0.6247728727
19	-0.6323568841
20	-0.6391950714
21	-0.6430102058
22	-0.6534273364
23	-0.6585071792
24	-0.6649975859
25	-0.670894042
26	-0.6785139557
27	-0.6861391881
28	-0.692173413
29	-0.6985801316
30	-0.7060310052
31	-0.7112328052
32	-0.7210094603
33	-0.7266993514
34	-0.7337665423
35	-0.7379901101
36	-0.7449960208
37	-0.7507774877
38	-0.7555347018
39	-0.761799928
40	-0.7712439714
41	-0.7765915562
42	-0.781226562
43	-0.7867922805
44	-0.794678472
45	-0.80109365
46	-0.8058659603
47	-0.8121450379
48	-0.8187328714
49	-0.8238047464
50	-0.8294105531
51	-0.8375438608
52	-0.842373568
53	-0.8480771651
54	-0.8527190969
55	-0.8570880523
56	-0.8615299189
57	-0.8665496975
58	-0.8723300703
59	-0.8758602383
60	-0.8792618759
61	-0.8843576906
62	-0.887827803
63	-0.8921230377
64	-0.8976773165
65	-0.9015063582
66	-0.9061193539
67	-0.9103101332
68	-0.9149281396
69	-0.9183109977
70	-0.9230631404
71	-0.9268808925
72	-0.9307267653
73	-0.9337723187
74	-0.9374272998
75	-0.9422018186
76	-0.9451278394
77	-0.9494931868
78	-0.9528952539
79	-0.955912949
80	-0.9585051088
81	-0.9608914644
82	-0.9634779476
83	-0.9664515925
84	-0.9706224916
85	-0.9748127781
86	-0.9784232596
87	-0.9825914053
88	-0.9851774385
89	-0.9892268245
90	-0.9932775404
91	-0.9967437148
92	-0.9986398315
93	-1.002184752
94	-1.004759531
95	-1.007854896
96	-1.010262587
97	-1.013136455
98	-1.01571317
99	-1.019235019
100	-1.020774574
101	-1.023764663
102	-1.027962017
103	-1.031859764
104	-1.036358234
105	-1.038547745
106	-1.042452671
107	-1.045008474
108	-1.047683428
109	-1.05071001
110	-1.052493463
111	-1.05473896
112	-1.057229673
113	-1.059713744
114	-1.062029478
115	-1.065134652
116	-1.068586215
117	-1.070576201
118	-1.072639188
119	-1.075456609
120	-1.079141347
121	-1.082002019
122	-1.083573622
123	-1.086474688
124	-1.088822698
125	-1.091089364
126	-1.093223429
127	-1.095848118
128	-1.098816478
129	-1.101993103
130	-1.104594638
131	-1.106332492
132	-1.108282062
133	-1.111793383
134	-1.114296273
135	-1.117375461
136	-1.118997733
137	-1.122241192
138	-1.124681338
139	-1.127190441
140	-1.130017665
141	-1.131884138
142	-1.133276004
143	-1.136178325
144	-1.138138833
145	-1.139637038
146	-1.142306661
147	-1.14513195
148	-1.147101461
149	-1.150279325
150	-1.153636557
151	-1.155951686
152	-1.158734665
153	-1.160286135
154	-1.162514695
155	-1.16441818
156	-1.166265287
157	-1.168879646
158	-1.17064248
159	-1.172186528
160	-1.174282822
161	-1.177153429
162	-1.180268449
163	-1.182314693
164	-1.184321255
165	-1.185814219
166	-1.187456675
167	-1.189951395
168	-1.192285917
169	-1.193944053
170	-1.196893309
171	-1.19807136
172	-1.19985508
173	-1.201717608
174	-1.205534459
175	-1.206756746
176	-1.209417108
177	-1.211224604
178	-1.212999828
179	-1.214295639
180	-1.217055312
181	-1.219166626
182	-1.221049352
183	-1.222230545
184	-1.223674235
185	-1.224914937
186	-1.22652243
187	-1.228043588
188	-1.229786762
189	-1.232414637
190	-1.234575624
191	-1.236485261
192	-1.23771961
193	-1.238694102
194	-1.240531219
195	-1.241992443
196	-1.24316743
197	-1.245010691
198	-1.248124282
199	-1.249540422
200	-1.252529285
201	-1.255312205
202	-1.257721437
203	-1.259912941
204	-1.26065439
205	-1.262090936
206	-1.265209233
207	-1.267174033
208	-1.269010177
209	-1.270948696
210	-1.272793383
211	-1.274678571
212	-1.27642731
213	-1.277882731
214	-1.279419307
215	-1.282104424
216	-1.286251951
217	-1.288503022
218	-1.290566115
219	-1.292455491
220	-1.294440686
221	-1.29688441
222	-1.298666999
223	-1.300120364
224	-1.302120616
225	-1.303153574
226	-1.304036735
227	-1.30526858
228	-1.307714907
229	-1.310312288
230	-1.312079623
231	-1.313199354
232	-1.314608462
233	-1.315836854
234	-1.318542799
235	-1.319636155
236	-1.321484921
237	-1.323217284
238	-1.325269085
239	-1.326336643
240	-1.327507618
241	-1.328668814
242	-1.330665562
243	-1.332346922
244	-1.333713816
245	-1.337459582
246	-1.33946784
247	-1.342121118
248	-1.345308969
249	-1.347205668
250	-1.348320884
251	-1.349583322
252	-1.352133084
253	-1.355053751
254	-1.356262923
255	-1.357793524
256	-1.360114387
257	-1.36102914
258	-1.362932447
259	-1.364423513
260	-1.365764357
261	-1.36725035
262	-1.368622628
263	-1.370577784
264	-1.372408983
265	-1.373999091
266	-1.375573652
267	-1.376576804
268	-1.378357247
269	-1.379246763
270	-1.380861108
271	-1.383755652
272	-1.384850026
273	-1.386055335
274	-1.388970695
275	-1.390683596
276	-1.393477089
277	-1.395730177
278	-1.398044496
279	-1.399917056
280	-1.401226073
281	-1.402386515
282	-1.403831014
283	-1.40602901
284	-1.406776216
285	-1.408073395
286	-1.410127691
287	-1.411138607
288	-1.412481724
289	-1.41403207
290	-1.415690695
291	-1.41718531
292	-1.41902329
293	-1.420617753
294	-1.422146579
295	-1.42380331
296	-1.424920218
297	-1.426598838
298	-1.428102081
299	-1.429805193
300	-1.432118217
301	-1.433348492
302	-1.434818176
303	-1.436392372
304	-1.437163939
305	-1.438556605
306	-1.439755655
307	-1.441438123
308	-1.443072523
309	-1.444530511
310	-1.44648979
311	-1.447591562
312	-1.450415475
313	-1.451436461
314	-1.454036549
315	-1.456055119
316	-1.457769354
317	-1.459085352
318	-1.459843609
319	-1.46129247
320	-1.462992399
321	-1.463810457
322	-1.464972065
323	-1.466523081
324	-1.468765328
325	-1.469534506
326	-1.470688161
327	-1.472262437
328	-1.474389651
329	-1.476433993
330	-1.477818663
331	-1.479346611
332	-1.480471541
333	-1.482205767
334	-1.483149999
335	-1.484556818
336	-1.486030042
337	-1.487812021
338	-1.489262238
339	-1.490912532
340	-1.492070098
341	-1.493351471
342	-1.495281054
343	-1.496873296
344	-1.498069523
345	-1.499661907
346	-1.50068987
347	-1.501650802
348	-1.502678062
349	-1.504750691
350	-1.50691921
351	-1.509240913
352	-1.510244266
353	-1.511007144
354	-1.512533127
355	-1.514854524
356	-1.516361586
357	-1.51771908
358	-1.518892915
359	-1.521984063
360	-1.523276256
361	-1.524874159
362	-1.526182395
363	-1.526865256
364	-1.528465427
365	-1.530181948
366	-1.530744705
367	-1.532917787
368	-1.535119712
369	-1.536063718
370	-1.537349392
371	-1.538805668
372	-1.539409575
373	-1.540747175
374	-1.542837998
375	-1.544500519
376	-1.545745436
377	-1.547117562
378	-1.548920683
379	-1.549769952
380	-1.551104554
381	-1.55306932
382	-1.554155789
383	-1.555636485
384	-1.556812017
385	-1.558115179
386	-1.560036179
387	-1.561437057
388	-1.562847621
389	-1.563792521
390	-1.565032411
391	-1.56607897
392	-1.567858133
393	-1.569013229
394	-1.569741091
395	-1.570750641
396	-1.571454011
397	-1.57307382
398	-1.573904891
399	-1.575060643
400	-1.575707614
401	-1.576700833
402	-1.577721823
403	-1.578698469
404	-1.579678636
405	-1.581029749
406	-1.582273159
407	-1.58303832
408	-1.584275751
409	-1.585374976
410	-1.586127351
411	-1.586893877
412	-1.588543139
413	-1.589152152
414	-1.591366959
415	-1.592585952
416	-1.593470678
417	-1.595200385
418	-1.59596348
419	-1.597204235
420	-1.598697802
421	-1.600003407
422	-1.60083612
423	-1.601764183
424	-1.602773883
425	-1.603955237
426	-1.605446935
427	-1.60629528
428	-1.606764636
429	-1.608078363
430	-1.609017172
431	-1.61092389
432	-1.61167228
433	-1.612235845
434	-1.613013568
435	-1.614554418
436	-1.615571753
437	-1.616793834
438	-1.618015425
439	-1.619472077
440	-1.620759763
441	-1.62187283
442	-1.623372311
443	-1.624870391
444	-1.625924651
445	-1.62734038
446	-1.628266922
447	-1.629630174
448	-1.631059116
449	-1.632194215
450	-1.633506708
451	-1.634154793
452	-1.635729873
453	-1.637339849
454	-1.638012981
455	-1.639926284
456	-1.640735774
457	-1.642457413
458	-1.643876397
459	-1.644797072
460	-1.645695796
461	-1.646736042
462	-1.647620897
463	-1.648303611
464	-1.648650983
465	-1.649729694
466	-1.650819463
467	-1.65205682
468	-1.653620369
469	-1.654331936
470	-1.655093012
471	-1.655788512
472	-1.65640578
473	-1.656939483
474	-1.657707774
475	-1.658934934
476	-1.659737918
477	-1.661038641
478	-1.663279109
479	-1.665383428
480	-1.666123789
481	-1.666374666
482	-1.668546746
483	-1.669260768
484	-1.670774981
485	-1.671505764
486	-1.672491858
487	-1.67327284
488	-1.67412073
489	-1.675255012
490	-1.676707675
491	-1.67813537
492	-1.679533298
493	-1.680471961
494	-1.681253593
495	-1.682289465
496	-1.682976673
497	-1.683779158
498	-1.68472839
499	-1.686070588
500	-1.687867108
501	-1.689034178
502	-1.69066
503	-1.691277258
504	-1.692193828
505	-1.693748572
506	-1.695014315
507	-1.696343944
508	-1.697441992
509	-1.698620388
510	-1.69909437
511	-1.701055315
512	-1.702087385
513	-1.703400288
514	-1.70407703
515	-1.706068816
516	-1.707158687
517	-1.708461789
518	-1.709443885
519	-1.711296904
520	-1.712465901
521	-1.714634821
522	-1.715907169
523	-1.716883268
524	-1.718004112
525	-1.719820811
526	-1.720064836
527	-1.721620319
528	-1.723502744
529	-1.724113758
530	-1.725109736
531	-1.726572311
532	-1.727770438
533	-1.728503152
534	-1.730318835
535	-1.730334451
536	-1.731818132
537	-1.733526956
538	-1.734541102
539	-1.736474697
540	-1.737170294
541	-1.737423002
542	-1.737838886
543	-1.739310388
544	-1.740397485
545	-1.741025757
546	-1.741999878
547	-1.742930739
548	-1.743138643
549	-1.74420259
550	-1.744675535
551	-1.7465546
552	-1.747437154
553	-1.747949224
554	-1.748995788
555	-1.749606746
556	-1.751005368
557	-1.751946696
558	-1.753834834
559	-1.755232842
560	-1.756115387
561	-1.757209063
562	-1.758694309
563	-1.759502522
564	-1.760541128
565	-1.761865087
566	-1.762899649
567	-1.763994801
568	-1.76472948
569	-1.766492511
570	-1.768576477
571	-1.770198667
572	-1.771078838
573	-1.771898862
574	-1.772970371
575	-1.773779636
576	-1.775511976
577	-1.776355443
578	-1.777759361
579	-1.77925978
580	-1.780254337
581	-1.782664836
582	-1.783340314
