iter	Passed	Remaining
0	98	98249
1	120	60339
2	141	47186
3	162	40556
4	183	36477
5	205	34035
6	226	32182
7	247	30665
8	268	29583
9	288	28571
10	309	27805
11	332	27355
12	353	26807
13	373	26312
14	395	25957
15	417	25699
16	438	25367
17	462	25238
18	487	25146
19	516	25314
20	553	25791
21	591	26284
22	623	26469
23	663	26967
24	691	26981
25	736	27606
26	777	28021
27	818	28418
28	857	28717
29	885	28620
30	927	29001
31	971	29373
32	1005	29469
33	1042	29618
34	1070	29522
35	1109	29708
36	1138	29634
37	1168	29591
38	1200	29576
39	1227	29455
40	1258	29443
41	1291	29452
42	1324	29473
43	1355	29441
44	1383	29366
45	1411	29268
46	1451	29430
47	1495	29654
48	1520	29502
49	1544	29338
50	1574	29295
51	1594	29076
52	1615	28858
53	1637	28684
54	1659	28508
55	1680	28321
56	1700	28138
57	1722	27968
58	1742	27793
59	1763	27620
60	1784	27468
61	1807	27351
62	1830	27220
63	1851	27079
64	1873	26947
65	1894	26807
66	1916	26683
67	1937	26556
68	1958	26430
69	1978	26288
70	2000	26173
71	2020	26047
72	2043	25943
73	2064	25838
74	2086	25734
75	2107	25627
76	2127	25502
77	2147	25389
78	2168	25275
79	2188	25163
80	2209	25063
81	2229	24955
82	2249	24856
83	2271	24773
84	2293	24684
85	2314	24598
86	2335	24506
87	2355	24415
88	2375	24314
89	2395	24224
90	2417	24147
91	2438	24066
92	2459	23986
93	2482	23924
94	2502	23843
95	2523	23764
96	2544	23684
97	2564	23606
98	2583	23515
99	2604	23436
100	2625	23365
101	2646	23299
102	2670	23254
103	2693	23205
104	2716	23153
105	2739	23104
106	2760	23039
107	2783	22990
108	2806	22939
109	2828	22881
110	2847	22805
111	2869	22749
112	2892	22707
113	2913	22645
114	2933	22576
115	2954	22513
116	2975	22455
117	2996	22394
118	3017	22337
119	3038	22283
120	3059	22226
121	3080	22173
122	3103	22128
123	3125	22077
124	3147	22032
125	3168	21975
126	3188	21917
127	3209	21861
128	3227	21792
129	3248	21738
130	3268	21684
131	3288	21625
132	3310	21581
133	3333	21546
134	3356	21503
135	3377	21455
136	3399	21411
137	3420	21368
138	3441	21318
139	3461	21266
140	3483	21223
141	3504	21177
142	3525	21130
143	3547	21088
144	3568	21042
145	3589	20995
146	3610	20949
147	3631	20905
148	3652	20858
149	3672	20809
150	3693	20768
151	3714	20725
152	3737	20688
153	3758	20649
154	3780	20608
155	3801	20565
156	3822	20525
157	3844	20490
158	3865	20443
159	3885	20399
160	3905	20353
161	3926	20313
