% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
1.10148,1.21686,179,,157.0,205,,29,570,192,46842
1.20007,1.28064,199,,151.0,242,,23,615,191,48023
1.37876,1.23906,228,,153.0,266,,34,681,219,54961
1.1992,1.14473,188,,193.0,236,,36,653,213,57044
1.65618,1.26112,217,,162.0,280,,41,700,213,55506
1.41326,1.28275,178,,148.0,281,,48,655,195,51062
1.9868,1.44579,294,,240.0,328,,70,932,248,64463
2.44749,1.64796,288,,293.0,456,,63,1100,256,66749
1.73901,1.67517,268,,206.0,343,,69,886,252,52890
1.93919,1.61739,299,,282.0,415,,102,1098,253,67887
2.28166,1.76632,346,,268.0,388,,81,1083,242,61314
2.50761,2.10398,348,,235.0,362,,59,1004,190,47719
4.11352,3.13655,510,,404.0,492,,113,1519,251,48429
5.62372,3.7185,579,,584.0,576,,207,1946,250,52333
4.37398,3.59225,639,,759.0,810,,207,2415,254,67228
4.19434,3.68922,690,,654.0,1121,,148,2613,255,70828
5.42123,4.60396,856,,679.0,1440,,151,3126,245,67898
5.66137,4.91007,824,,817.0,1600,,196,3437,245,69999
5.97802,4.82687,881,,769.0,1471,,233,3354,239,69486
4.7358,3.9459,699,,671.0,1101,,146,2617,234,66322
3.44581,3.1081,457,,523.0,849,,119,1948,223,62675
2.47799,2.13953,313,,330.0,534,,112,1289,217,60247
1.65732,1.43954,241,,214.0,308,,64,827,211,57449
1.96952,1.47879,201,,183.0,305,,59,748,208,50582
1.58545,1.08556,162,,123.0,249,,51,585,200,53889
1.80474,0.997967,156,,93.0,196,,41,486,177,48699
1.04624,0.744205,90,,92.0,144,,32,358,182,48105
1.4004,0.856631,82,,93.0,152,,41,368,170,42959
0.79687,0.621737,64,,73.0,106,,19,262,156,42140
0.717097,0.670954,82,,68.0,100,,15,265,155,39496
1.00238,0.694082,58,,61.0,120,,27,266,148,38324
0.908403,0.583457,39,,64.0,93,,13,209,136,35821
0.443014,0.57764,79,,37.0,61,,9,186,131,32200
0.638986,0.605216,54,,40.0,52,,19,165,120,27263
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
1.57733,0.697291,115,,139.0,210,,26,490,304,70272
1.3088,0.784777,133,,174.0,262,,36,605,328,77092
1.41744,0.902906,217,,225.0,287,,54,783,350,86720
1.18272,1.13792,278,,226.0,530,,52,1086,377,95437
2.33432,1.01551,298,,262.0,414,,60,1034,388,101821
1.81577,1.0009,258,,292.0,402,,70,1022,400,102108
2.17975,1.13895,355,,281.0,478,,64,1178,372,103429
2.1124,1.44938,291,,322.0,512,,83,1208,403,83346
2.04854,1.13908,319,,310.0,453,,94,1176,392,103241
1.93248,1.16023,353,,303.0,461,,85,1202,399,103600
1.90468,1.17127,312,,320.0,426,,83,1141,396,97416
2.55983,1.49061,335,,296.0,359,,74,1064,384,71380
3.99108,1.84288,418,,466.0,377,,162,1423,382,77216
3.08581,1.8239,439,,659.0,548,,134,1780,396,97593
4.16383,2.54354,431,,962.0,874,,140,2407,396,94632
5.58049,3.61581,801,,1168.0,1689,,206,3864,399,106864
5.25328,4.07912,755,,1419.0,2185,,186,4545,397,111421
6.74667,5.0776,970,,1562.0,2919,,219,5670,397,111667
7.57188,5.04884,1029,,1591.0,2911,,237,5768,379,114244
6.87287,4.69331,822,,1599.0,2275,,224,4920,376,104830
6.35098,4.23423,800,,1520.0,1932,,234,4486,352,105946
5.41099,4.02363,769,,1357.0,1543,,241,3910,359,97176
4.55008,2.99348,539,,1041.0,1140,,202,2922,351,97612
3.85915,2.37759,458,,704.0,778,,130,2070,339,87063
2.99601,2.01715,378,,548.0,641,,129,1696,321,84079
1.97814,1.37688,243,,382.0,397,,69,1091,313,79237
1.16887,0.88283,127,,202.0,265,,38,632,277,71588
1.09302,0.613811,102,,102.0,175,,17,396,268,64515
0.633169,0.42177,59,,66.0,133,,13,271,258,64253
0.639561,0.615513,111,,118.0,150,,20,399,255,64824
1.55531,0.302287,35,,50.0,84,,11,180,237,59546
0.80802,0.522623,102,,88.0,86,,16,292,227,55872
1.33997,0.529526,100,,68.0,100,,15,283,222,53444
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0
