Total,Hol,VFR,Bus,Oth,NSW - hol,VIC - hol,QLD - hol,SA - hol,WA - hol,TAS - hol,NT - hol,NSW - vfr,VIC - vfr,QLD - vfr,SA - vfr,WA - vfr,TAS - vfr,NT - vfr,NSW - bus,VIC - bus,QLD - bus,SA - bus,WA - bus,TAS - bus,NT - bus,NSW - oth,VIC - oth,QLD - oth,SA - oth,WA - oth,TAS - oth,NT - oth,NSW - hol - city,NSW - hol - noncity,VIC - hol - city,VIC - hol - noncity,QLD - hol - city,QLD - hol - noncity,SA - hol - city,SA - hol - noncity,WA - hol - city,WA - hol - noncity,TAS - hol - city,TAS - hol - noncity,NT - hol - city,NT - hol - noncity,NSW - vfr - city,NSW - vfr - noncity,VIC - vfr - city,VIC - vfr - noncity,QLD - vfr - city,QLD - vfr - noncity,SA - vfr - city,SA - vfr - noncity,WA - vfr - city,WA - vfr - noncity,TAS - vfr - city,TAS - vfr - noncity,NT - vfr - city,NT - vfr - noncity,NSW - bus - city,NSW - bus - noncity,VIC - bus - city,VIC - bus - noncity,QLD - bus - city,QLD - bus - noncity,SA - bus - city,SA - bus - noncity,WA - bus - city,WA - bus - noncity,TAS - bus - city,TAS - bus - noncity,NT - bus - city,NT - bus - noncity,NSW - oth - city,NSW - oth - noncity,VIC - oth - city,VIC - oth - noncity,QLD - oth - city,QLD - oth - noncity,SA - oth - city,SA - oth - noncity,WA - oth - city,WA - oth - noncity,TAS - oth - city,TAS - oth - noncity,NT - oth - city,NT - oth - noncity,NSW,VIC,QLD,SA,WA,TAS,NT
84503,45906,26042,9815,2740,17589,10412,9078,3089,3449,2102,187,9398,5993,5290,2193,1781,1350,37,2885,2148,2093,844,1406,223,216,906,467,702,317,205,100,43,3096,14493,2531,7881,4688,4390,888,2201,1383,2066,619,1483,101,86,2709,6689,2565,3428,3003,2287,1324,869,1019,762,602,748,28,9,1201,1684,1164,984,1111,982,388,456,532,874,116,107,136,80,396,510,181,286,431,271,244,73,168,37,76,24,35,8,30778,19020,17163,6443,6841,3775,483
65312,29347,20676,11823,3466,11027,6025,6310,1935,2454,1098,498,7829,4107,4902,1445,1353,523,517,4301,1825,2224,749,2043,373,308,1238,552,839,363,269,97,108,1479,9548,1439,4586,2320,3990,521,1414,1059,1395,409,689,201,297,2184,5645,1852,2255,1957,2945,806,639,750,603,257,266,168,349,2020,2281,1014,811,776,1448,346,403,356,1687,83,290,138,170,657,581,229,323,669,170,142,221,170,99,36,61,69,39,24395,12509,14275,4492,6119,2091,1431
72753,32492,20582,13565,6114,8910,5060,11733,1569,3398,458,1364,7277,3811,5489,1453,1687,391,474,4093,1944,3379,750,1560,303,1536,1433,446,1434,712,1546,55,488,1609,7301,1488,3572,4758,6975,476,1093,1101,2297,127,331,619,745,2225,5052,1882,1929,2619,2870,1078,375,953,734,130,261,390,84,1975,2118,1153,791,1079,2300,390,360,440,1120,196,107,452,1084,540,893,128,318,270,1164,397,315,380,1166,32,23,150,338,21713,11261,22035,4484,8191,1207,3862
70880,31813,21613,11478,5976,10658,5481,8109,2270,3561,1320,414,8303,5090,4441,1209,1714,394,462,3463,1753,2880,890,1791,298,403,1902,606,749,454,1549,91,625,1520,9138,1906,3575,3328,4781,571,1699,1128,2433,371,949,164,250,2918,5385,2208,2882,2097,2344,568,641,999,715,137,257,244,218,1500,1963,1245,508,1128,1752,255,635,539,1252,70,228,243,160,745,1157,270,336,214,535,194,260,410,1139,48,43,172,453,24326,12930,16179,4823,8615,2103,1904
86893,46793,26947,10027,3126,16152,10958,10047,3023,4287,2113,213,10386,6152,5636,1685,2026,784,278,3347,1522,2751,666,1023,335,383,984,558,1015,180,190,137,62,1958,14194,2517,8441,4930,5117,873,2150,1560,2727,523,1590,62,151,3154,7232,2988,3164,2703,2933,887,798,1396,630,347,437,153,125,1196,2151,950,572,1192,1559,386,280,582,441,130,205,194,189,426,558,265,293,458,557,147,33,162,28,77,60,15,47,30869,19190,19449,5554,7526,3369,936
66866,31442,19481,11875,4068,9840,5841,8088,2219,3905,759,790,7113,3548,4576,1484,1908,625,227,3668,1878,3715,739,1160,292,423,1374,723,919,471,286,160,135,1372,8468,1485,4356,3459,4629,481,1738,1909,1996,167,592,252,538,2376,4737,1556,1992,1911,2665,790,694,1001,907,250,375,139,88,1632,2036,1001,877,1759,1956,432,307,499,661,204,88,137,286,456,918,417,306,364,555,342,129,125,161,70,90,72,63,21995,11990,17298,4913,7259,1836,1575
72182,34623,20026,11713,5820,9265,5104,12553,1712,3729,742,1518,7188,3389,5396,1561,1795,350,347,4454,1545,2646,730,1548,374,416,1131,522,2800,246,789,75,257,1561,7704,1512,3592,3815,8738,477,1235,995,2734,247,495,760,758,2323,4865,1541,1848,2605,2791,881,680,881,914,169,181,287,60,1564,2890,944,601,1188,1458,453,277,614,934,181,193,246,170,422,709,255,267,935,1865,137,109,546,243,26,49,75,182,22038,10560,23395,4249,7861,1541,2538
68318,31118,20431,10582,6187,10427,4774,9652,1940,2732,940,653,8704,3666,4813,1458,1357,375,58,3793,1855,2130,507,1619,367,311,2347,527,1343,651,867,90,362,1687,8740,1321,3453,3769,5883,590,1350,778,1954,307,633,235,418,2753,5951,1587,2079,1950,2863,822,636,755,602,116,259,30,28,1579,2214,1196,659,844,1286,345,162,582,1037,129,238,100,211,740,1607,169,358,640,703,400,251,299,568,34,56,145,217,25271,10822,17938,4556,6575,1772,1384
85651,47030,24284,9734,4603,16340,9972,10077,3282,5131,1618,610,8769,5797,4813,2297,1645,642,321,2964,1742,2770,982,621,257,398,1441,951,887,429,631,171,93,2769,13571,2294,7678,4824,5253,932,2350,2412,2719,557,1061,348,262,2559,6210,2852,2945,2350,2463,1368,929,986,659,313,329,123,198,1184,1780,1133,609,1171,1599,700,282,309,312,99,158,245,153,476,965,452,499,513,374,274,155,365,266,49,122,37,56,29514,18462,18547,6990,8028,2688,1422
64467,30852,19430,10590,3595,9797,5758,8564,1845,3324,854,710,6968,3927,4545,1464,1818,541,167,3669,1655,2361,905,1214,210,576,1213,726,547,432,511,80,86,1275,8522,1619,4139,3880,4684,427,1418,1158,2166,305,549,363,347,2320,4648,1854,2073,2011,2534,611,853,1076,742,216,325,81,86,1664,2005,1054,601,924,1437,438,467,613,601,61,149,167,409,265,948,154,572,298,249,348,84,212,299,33,47,41,45,21647,12066,16017,4646,6867,1685,1539
70416,34157,19358,11311,5590,10394,4743,10802,2599,3118,812,1689,6785,3487,5785,980,1481,375,465,3730,1849,2920,971,1126,322,393,1465,684,1701,328,666,98,648,2459,7935,1288,3455,4229,6573,587,2012,610,2508,286,526,885,804,2289,4496,1536,1951,3035,2750,498,482,651,830,143,232,238,227,2096,1634,1275,574,1036,1884,582,389,545,581,178,144,218,175,509,956,345,339,511,1190,155,173,252,414,79,19,389,259,22374,10763,21208,4878,6391,1607,3195
72855,32332,21834,13075,5614,11236,5438,8687,1973,3013,1166,819,8369,4355,5026,1201,2133,630,120,4237,2209,2729,1201,1872,289,538,1722,748,1872,362,553,73,284,2916,8320,1336,4102,3734,4953,610,1363,1455,1558,382,784,291,528,2710,5659,2051,2304,2182,2844,665,536,1145,988,241,389,37,83,2128,2109,1472,737,764,1965,719,482,840,1032,98,191,312,226,826,896,310,438,833,1039,215,147,163,390,56,17,114,170,25564,12750,18314,4737,7571,2158,1761
