0,1,2,3,4,5,6,7
0.7855,1.611,0.861698,0.634196,0.211242,0.006838,0.593,0.525486
0.7818,1.61,0.861104,0.633513,0.211242,0.006863,0.594,0.523972
0.7867,1.6293,0.86103,0.648508,0.211242,0.006975,0.5973,0.526316
0.786,1.637,0.862069,0.650618,0.211242,0.006953,0.597,0.523834
0.7849,1.653,0.861995,0.656254,0.211242,0.00694,0.5985,0.527426
0.7866,1.6537,0.86103,0.654879,0.211242,0.006887,0.604,0.526177
0.7886,1.662,0.862887,0.661157,0.211242,0.006885,0.607,0.527565
0.791,1.6568,0.864304,0.659631,0.211242,0.006878,0.6084,0.527565
0.7939,1.6695,0.86423,0.66912,0.211242,0.006878,0.6115,0.528123
0.7894,1.657,0.858369,0.659413,0.211242,0.006874,0.609,0.528123
0.7917,1.6495,0.859107,0.663702,0.211242,0.006873,0.612,0.529381
0.7941,1.6445,0.853752,0.658545,0.211242,0.006844,0.614,0.529101
0.7935,1.6465,0.848176,0.660284,0.211242,0.006866,0.6106,0.532765
0.7954,1.639,0.845309,0.652742,0.211242,0.006829,0.6118,0.532056
0.7751,1.649,0.848896,0.66313,0.211242,0.006845,0.6052,0.53135
0.7622,1.655,0.843526,0.668226,0.211242,0.006881,0.5915,0.533049
0.7583,1.6572,0.839983,0.672043,0.211242,0.006924,0.5945,0.532623
0.7605,1.657,0.837591,0.667557,0.211242,0.006976,0.5928,0.534188
0.7635,1.678,0.841397,0.672948,0.211242,0.006987,0.595,0.535045
0.766,1.6818,0.839913,0.670691,0.211242,0.00694,0.597,0.537201
0.7685,1.6794,0.843313,0.664894,0.211242,0.006918,0.602,0.536481
0.7702,1.6815,0.842886,0.667468,0.211242,0.006901,0.5983,0.536193
0.7735,1.6817,0.841255,0.668003,0.211242,0.006879,0.6003,0.535475
0.7655,1.695,0.840407,0.675584,0.211242,0.006878,0.5998,0.535906
0.7665,1.702,0.841822,0.677094,0.211242,0.00689,0.601,0.538503
0.7575,1.699,0.837872,0.674992,0.211242,0.006874,0.5936,0.537779
0.7545,1.687,0.835352,0.668986,0.211242,0.006878,0.5915,0.536769
0.7493,1.6925,0.8364,0.668003,0.211242,0.006887,0.593,0.536337
0.7521,1.695,0.83167,0.668539,0.211242,0.006935,0.5926,0.536625
0.7521,1.6905,0.833403,0.668003,0.211242,0.006925,0.5925,0.535906
0.7457,1.696,0.828638,0.670107,0.211242,0.006931,0.5815,0.536625
0.75,1.693,0.829187,0.668673,0.211242,0.006925,0.585,0.536193
0.7567,1.6955,0.834028,0.669568,0.211242,0.006937,0.5883,0.535045
0.7595,1.704,0.831947,0.673401,0.211242,0.006875,0.5898,0.537634
0.7586,1.715,0.832432,0.678104,0.211242,0.006881,0.5887,0.537346
0.7646,1.7147,0.83717,0.679117,0.211242,0.006854,0.5897,0.536481
0.7652,1.71,0.835422,0.677048,0.211242,0.006806,0.5902,0.535906
0.765,1.693,0.834725,0.672495,0.211242,0.006718,0.5882,0.536193
0.7605,1.692,0.83696,0.674172,0.211242,0.006728,0.5877,0.536049
0.7601,1.6892,0.838715,0.670466,0.211242,0.00672,0.588,0.535619
0.7635,1.665,0.840195,0.664011,0.211242,0.006681,0.5872,0.533333
0.7596,1.651,0.837521,0.66072,0.211242,0.006654,0.5884,0.533333
0.7585,1.6388,0.839913,0.666667,0.211242,0.006676,0.5878,0.534045
0.7611,1.649,0.84246,0.666889,0.211242,0.006676,0.5891,0.533903
0.7596,1.639,0.843811,0.663702,0.211242,0.006613,0.5889,0.533476
0.7607,1.6425,0.847817,0.662559,0.211242,0.00663,0.5879,0.533618
0.7607,1.6181,0.847961,0.661244,0.211242,0.006608,0.5907,0.534045
0.758,1.6103,0.848176,0.656211,0.211242,0.006563,0.5892,0.533618
0.761,1.6003,0.849041,0.65445,0.211242,0.006555,0.5863,0.532623
0.7635,1.609,0.851426,0.654879,0.211242,0.006569,0.5874,0.533333
0.7563,1.6175,0.848896,0.65703,0.211242,0.006555,0.5898,0.533333
0.7536,1.6235,0.847242,0.662471,0.211242,0.006563,0.588,0.533618
