Month,heater,ice cream
2004-01,27,13
2004-02,18,15
2004-03,14,16
2004-04,13,19
2004-05,13,21
2004-06,13,24
2004-07,13,27
2004-08,14,20
2004-09,15,18
2004-10,20,15
2004-11,24,15
2004-12,29,14
2005-01,27,15
2005-02,17,15
2005-03,15,17
2005-04,14,19
2005-05,13,22
2005-06,13,28
2005-07,12,29
2005-08,13,21
2005-09,16,16
2005-10,25,14
2005-11,25,14
2005-12,31,14
2006-01,21,14
2006-02,20,15
2006-03,16,16
2006-04,14,19
2006-05,13,23
2006-06,13,27
2006-07,13,32
2006-08,13,24
2006-09,16,19
2006-10,22,16
2006-11,23,16
2006-12,25,17
2007-01,25,16
2007-02,23,17
2007-03,16,18
2007-04,14,20
2007-05,13,25
2007-06,13,30
2007-07,12,29
2007-08,12,23
2007-09,15,19
2007-10,20,15
2007-11,26,15
2007-12,29,16
2008-01,26,15
2008-02,20,17
2008-03,16,17
2008-04,15,20
2008-05,14,25
2008-06,14,28
2008-07,14,28
2008-08,14,23
2008-09,17,18
2008-10,26,15
2008-11,28,15
2008-12,31,14
2009-01,29,15
2009-02,21,17
2009-03,17,18
2009-04,15,22
2009-05,14,27
2009-06,14,32
2009-07,13,34
2009-08,13,30
2009-09,16,24
2009-10,24,19
2009-11,23,20
2009-12,33,18
2010-01,30,18
2010-02,22,19
2010-03,17,21
2010-04,15,23
2010-05,14,28
2010-06,12,30
2010-07,11,34
2010-08,12,28
2010-09,14,22
2010-10,21,18
2010-11,27,17
2010-12,32,16
2011-01,31,24
2011-02,24,24
2011-03,18,25
2011-04,15,45
2011-05,14,34
2011-06,14,41
2011-07,13,46
2011-08,14,35
2011-09,17,30
2011-10,25,30
2011-11,31,27
2011-12,32,29
2012-01,28,30
2012-02,21,30
2012-03,17,35
2012-04,15,39
2012-05,14,46
2012-06,13,53
2012-07,13,55
2012-08,13,41
2012-09,16,31
2012-10,25,24
2012-11,32,23
2012-12,29,23
2013-01,30,24
2013-02,23,25
2013-03,20,27
2013-04,16,31
2013-05,15,37
2013-06,14,44
2013-07,14,48
2013-08,14,37
2013-09,17,28
2013-10,27,22
2013-11,36,21
2013-12,39,21
2014-01,39,24
2014-02,28,24
2014-03,21,28
2014-04,17,32
2014-05,16,39
2014-06,15,45
2014-07,15,51
2014-08,16,40
2014-09,19,28
2014-10,26,23
2014-11,45,21
2014-12,32,22
2015-01,36,24
2015-02,32,26
2015-03,21,33
2015-04,17,40
2015-05,17,46
2015-06,17,49
2015-07,16,57
2015-08,17,45
2015-09,19,35
2015-10,29,27
2015-11,37,26
2015-12,35,25
2016-01,40,30
2016-02,28,32
2016-03,21,38
2016-04,20,45
2016-05,19,51
2016-06,18,61
2016-07,17,71
2016-08,17,52
2016-09,21,42
2016-10,29,39
2016-11,39,46
2016-12,52,66
2017-01,40,35
2017-02,27,39
2017-03,25,44
2017-04,20,55
2017-05,21,60
2017-06,20,74
2017-07,19,89
2017-08,19,64
2017-09,23,48
2017-10,33,40
2017-11,43,36
2017-12,56,35
2018-01,56,40
2018-02,33,42
2018-03,27,51
2018-04,24,56
2018-05,22,71
2018-06,21,79
2018-07,21,91
2018-08,21,66
2018-09,24,49
2018-10,39,39
2018-11,53,34
2018-12,48,36
2019-01,49,39
2019-02,39,42
2019-03,30,53
2019-04,24,57
2019-05,23,65
2019-06,22,82
2019-07,21,100
2019-08,21,68
2019-09,24,51
2019-10,40,40
2019-11,56,36
2019-12,46,36
2020-01,41,43
2020-02,34,45
2020-03,25,44
2020-04,25,53
2020-05,27,70
2020-06,24,74
