"Month","Sunspots"
"1749-01",58.0
"1749-02",62.6
"1749-03",70.0
"1749-04",55.7
"1749-05",85.0
"1749-06",83.5
"1749-07",94.8
"1749-08",66.3
"1749-09",75.9
"1749-10",75.5
"1749-11",158.6
"1749-12",85.2
"1750-01",73.3
"1750-02",75.9
"1750-03",89.2
"1750-04",88.3
"1750-05",90.0
"1750-06",100.0
"1750-07",85.4
"1750-08",103.0
"1750-09",91.2
"1750-10",65.7
"1750-11",63.3
"1750-12",75.4
"1751-01",70.0
"1751-02",43.5
"1751-03",45.3
"1751-04",56.4
"1751-05",60.7
"1751-06",50.7
"1751-07",66.3
"1751-08",59.8
"1751-09",23.5
"1751-10",23.2
"1751-11",28.5
"1751-12",44.0
"1752-01",35.0
"1752-02",50.0
"1752-03",71.0
"1752-04",59.3
"1752-05",59.7
"1752-06",39.6
"1752-07",78.4
"1752-08",29.3
"1752-09",27.1
"1752-10",46.6
"1752-11",37.6
"1752-12",40.0
"1753-01",44.0
"1753-02",32.0
"1753-03",45.7
"1753-04",38.0
"1753-05",36.0
"1753-06",31.7
"1753-07",22.2
"1753-08",39.0
"1753-09",28.0
"1753-10",25.0
"1753-11",20.0
"1753-12",6.7
"1754-01",0.0
"1754-02",3.0
"1754-03",1.7
"1754-04",13.7
"1754-05",20.7
"1754-06",26.7
"1754-07",18.8
"1754-08",12.3
"1754-09",8.2
"1754-10",24.1
"1754-11",13.2
"1754-12",4.2
"1755-01",10.2
"1755-02",11.2
"1755-03",6.8
"1755-04",6.5
"1755-05",0.0
"1755-06",0.0
"1755-07",8.6
"1755-08",3.2
"1755-09",17.8
"1755-10",23.7
"1755-11",6.8
"1755-12",20.0
"1756-01",12.5
"1756-02",7.1
"1756-03",5.4
"1756-04",9.4
"1756-05",12.5
"1756-06",12.9
"1756-07",3.6
"1756-08",6.4
"1756-09",11.8
"1756-10",14.3
"1756-11",17.0
"1756-12",9.4
"1757-01",14.1
"1757-02",21.2
"1757-03",26.2
"1757-04",30.0
"1757-05",38.1
"1757-06",12.8
"1757-07",25.0
"1757-08",51.3
"1757-09",39.7
"1757-10",32.5
"1757-11",64.7
"1757-12",33.5
"1758-01",37.6
"1758-02",52.0
"1758-03",49.0
"1758-04",72.3
"1758-05",46.4
"1758-06",45.0
"1758-07",44.0
"1758-08",38.7
"1758-09",62.5
"1758-10",37.7
"1758-11",43.0
"1758-12",43.0
"1759-01",48.3
"1759-02",44.0
"1759-03",46.8
"1759-04",47.0
"1759-05",49.0
"1759-06",50.0
"1759-07",51.0
"1759-08",71.3
"1759-09",77.2
"1759-10",59.7
"1759-11",46.3
"1759-12",57.0
"1760-01",67.3
"1760-02",59.5
"1760-03",74.7
"1760-04",58.3
"1760-05",72.0
"1760-06",48.3
"1760-07",66.0
"1760-08",75.6
"1760-09",61.3
"1760-10",50.6
"1760-11",59.7
"1760-12",61.0
"1761-01",70.0
"1761-02",91.0
"1761-03",80.7
"1761-04",71.7
"1761-05",107.2
"1761-06",99.3
"1761-07",94.1
"1761-08",91.1
"1761-09",100.7
"1761-10",88.7
"1761-11",89.7
"1761-12",46.0
"1762-01",43.8
"1762-02",72.8
"1762-03",45.7
"1762-04",60.2
"1762-05",39.9
"1762-06",77.1
"1762-07",33.8
"1762-08",67.7
"1762-09",68.5
"1762-10",69.3
"1762-11",77.8
"1762-12",77.2
"1763-01",56.5
"1763-02",31.9
"1763-03",34.2
"1763-04",32.9
"1763-05",32.7
"1763-06",35.8
"1763-07",54.2
"1763-08",26.5
"1763-09",68.1
"1763-10",46.3
"1763-11",60.9
"1763-12",61.4
"1764-01",59.7
"1764-02",59.7
"1764-03",40.2
"1764-04",34.4
"1764-05",44.3
"1764-06",30.0
"1764-07",30.0
"1764-08",30.0
"1764-09",28.2
"1764-10",28.0
"1764-11",26.0
"1764-12",25.7
"1765-01",24.0
"1765-02",26.0
"1765-03",25.0
"1765-04",22.0
"1765-05",20.2
"1765-06",20.0
"1765-07",27.0
"1765-08",29.7
"1765-09",16.0
"1765-10",14.0
"1765-11",14.0
"1765-12",13.0
"1766-01",12.0
"1766-02",11.0
"1766-03",36.6
"1766-04",6.0
"1766-05",26.8
"1766-06",3.0
"1766-07",3.3
"1766-08",4.0
"1766-09",4.3
"1766-10",5.0
"1766-11",5.7
"1766-12",19.2
"1767-01",27.4
"1767-02",30.0
"1767-03",43.0
"1767-04",32.9
"1767-05",29.8
"1767-06",33.3
"1767-07",21.9
"1767-08",40.8
"1767-09",42.7
"1767-10",44.1
"1767-11",54.7
"1767-12",53.3
"1768-01",53.5
"1768-02",66.1
"1768-03",46.3
"1768-04",42.7
"1768-05",77.7
"1768-06",77.4
"1768-07",52.6
"1768-08",66.8
"1768-09",74.8
"1768-10",77.8
"1768-11",90.6
"1768-12",111.8
"1769-01",73.9
"1769-02",64.2
"1769-03",64.3
"1769-04",96.7
"1769-05",73.6
"1769-06",94.4
"1769-07",118.6
"1769-08",120.3
"1769-09",148.8
