Week,Gasoline
04/30/2021,8864
04/23/2021,8877
04/16/2021,9104
04/9/2021,8944
04/2/2021,8781
03/26/2021,8891
03/19/2021,8616
03/12/2021,8442
03/5/2021,8726
02/26/2021,8148
02/19/2021,7207
02/12/2021,8407
02/5/2021,7857
01/29/2021,7770
01/22/2021,7833
01/15/2021,8112
01/8/2021,7532
01/1/2021,7441
12/25/2020,8128
12/18/2020,8022
12/11/2020,7975
12/4/2020,7600
11/27/2020,7973
11/20/2020,8129
11/13/2020,8258
11/6/2020,8762
10/30/2020,8336
10/23/2020,8545
10/16/2020,8289
10/9/2020,8576
10/2/2020,8896
09/25/2020,8529
09/18/2020,8515
09/11/2020,8478
09/4/2020,8390
08/28/2020,8786
08/21/2020,9161
08/14/2020,8630
08/7/2020,8883
07/31/2020,8617
07/24/2020,8809
07/17/2020,8550
07/10/2020,8648
07/3/2020,8766
06/26/2020,8561
06/19/2020,8608
06/12/2020,7870
06/5/2020,7900
05/29/2020,7549
05/22/2020,7253
05/15/2020,6790
05/8/2020,7398
05/1/2020,6664
04/24/2020,5860
04/17/2020,5311
04/10/2020,5081
04/3/2020,5065
03/27/2020,6659
03/20/2020,8837
03/13/2020,9696
03/6/2020,9449
02/28/2020,9186
02/21/2020,9035
02/14/2020,8918
02/7/2020,8722
01/31/2020,8933
01/24/2020,8793
01/17/2020,8662
01/10/2020,8558
01/3/2020,8133
12/27/2019,8961
12/20/2019,9303
12/13/2019,9411
12/6/2019,8882
11/29/2019,9032
11/22/2019,9204
11/15/2019,9192
11/8/2019,9321
11/1/2019,9145
10/25/2019,9784
10/18/2019,9590
10/11/2019,9354
10/4/2019,9460
09/27/2019,9137
09/20/2019,9346
09/13/2019,8939
09/6/2019,9807
08/30/2019,9471
08/23/2019,9900
08/16/2019,9626
08/9/2019,9932
08/2/2019,9651
07/26/2019,9559
07/19/2019,9673
07/12/2019,9214
07/5/2019,9754
06/28/2019,9492
06/21/2019,9466
06/14/2019,9928
06/7/2019,9877
05/31/2019,9441
05/24/2019,9394
05/17/2019,9429
05/10/2019,9148
05/3/2019,9871
04/26/2019,9228
04/19/2019,9409
04/12/2019,9420
04/5/2019,9806
03/29/2019,9131
03/22/2019,9124
03/15/2019,9409
03/8/2019,9140
03/1/2019,9062
02/22/2019,8981
02/15/2019,8800
02/8/2019,8648
02/1/2019,9073
01/25/2019,9564
01/18/2019,8868
01/11/2019,8565
01/4/2019,8735
12/28/2018,8623
12/21/2018,9348
12/14/2018,9243
12/7/2018,9036
11/30/2018,8877
11/23/2018,9188
11/16/2018,9185
11/9/2018,9192
11/2/2018,9099
10/26/2018,9262
10/19/2018,9324
10/12/2018,9182
10/5/2018,9078
09/28/2018,9102
09/21/2018,8987
09/14/2018,9534
09/7/2018,9649
08/31/2018,9734
08/24/2018,9899
08/17/2018,9453
08/10/2018,9512
08/3/2018,9346
07/27/2018,9878
07/20/2018,9846
07/13/2018,9708
07/6/2018,9275
06/29/2018,9869
06/22/2018,9731
06/15/2018,9326
06/8/2018,9879
06/1/2018,8976
05/25/2018,9689
