"Y","date"
6172,1965-01-01
6709,1965-04-01
6633,1965-07-01
6660,1965-10-01
6786,1966-01-01
6800,1966-04-01
6730,1966-07-01
6765,1966-10-01
6720,1967-01-01
7133,1967-04-01
6946,1967-07-01
7095,1967-10-01
7047,1968-01-01
6757,1968-04-01
6915,1968-07-01
6921,1968-10-01
7064,1969-01-01
7206,1969-04-01
7190,1969-07-01
7402,1969-10-01
7819,1970-01-01
7300,1970-04-01
7105,1970-07-01
7259,1970-10-01
7001,1971-01-01
7475,1971-04-01
6840,1971-07-01
7061,1971-10-01
5845,1972-01-01
7529,1972-04-01
7819,1972-07-01
6943,1972-10-01
5714,1973-01-01
6556,1973-04-01
7045,1973-07-01
5947,1973-10-01
5463,1974-01-01
6127,1974-04-01
5540,1974-07-01
4235,1974-10-01
3324,1975-01-01
4793,1975-04-01
5906,1975-07-01
5834,1975-10-01
5240,1976-01-01
5458,1976-04-01
5505,1976-07-01
5002,1976-10-01
3999,1977-01-01
4826,1977-04-01
5318,1977-07-01
4681,1977-10-01
4442,1978-01-01
5305,1978-04-01
5466,1978-07-01
4995,1978-10-01
4573,1979-01-01
5081,1979-04-01
5696,1979-07-01
5079,1979-10-01
4373,1980-01-01
4986,1980-04-01
5341,1980-07-01
4800,1980-10-01
4161,1981-01-01
5007,1981-04-01
5464,1981-07-01
5127,1981-10-01
4240,1982-01-01
5338,1982-04-01
5129,1982-07-01
4437,1982-10-01
3642,1983-01-01
4602,1983-04-01
5524,1983-07-01
4895,1983-10-01
4380,1984-01-01
5186,1984-04-01
6080,1984-07-01
5588,1984-10-01
5009,1985-01-01
5663,1985-04-01
6540,1985-07-01
6262,1985-10-01
5169,1986-01-01
5819,1986-04-01
6339,1986-07-01
5981,1986-10-01
4766,1987-01-01
5976,1987-04-01
6590,1987-07-01
5590,1987-10-01
5135,1988-01-01
5762,1988-04-01
6077,1988-07-01
5882,1988-10-01
4247,1989-01-01
5264,1989-04-01
5146,1989-07-01
4868,1989-10-01
4329,1990-01-01
4869,1990-04-01
5127,1990-07-01
4868,1990-10-01
3827,1991-01-01
4987,1991-04-01
5222,1991-07-01
4928,1991-10-01
3930,1992-01-01
4469,1992-04-01
4954,1992-07-01
4752,1992-10-01
3888,1993-01-01
4588,1993-04-01
5309,1993-07-01
4732,1993-10-01
4837,1994-01-01
6135,1994-04-01
6396,1994-07-01
